Time_s,Downrange_km,Altitude_km,VelHoriz_ms,VelVert_ms,VelTotal_ms,Mach,Phase,Mass_kg
124.3,19.3289486997813,47.2882447943604,1978.48972912207,-53.6410091528545,1979.21675571536,6.00131675469668,5,550
124.4,19.5267973719462,47.2828323882372,1978.48371348344,-54.6071130744362,1979.23716146337,6.00137862834292,5,550
124.5,19.7246454423383,47.2773233717925,1978.47769365238,-55.5732155855217,1979.25803435797,6.0014419184559,5,550
124.6,19.9224929105343,47.2717177451663,1978.47166955109,-56.5393167088914,1979.27937430525,6.00150662475085,5,550
124.7,20.1203397761035,47.2660155084962,1978.4656411016,-57.5054164672072,1979.30118121085,6.00157274694164,5,550
124.8,20.3181860386071,47.2602166619176,1978.45960822582,-58.4715148830119,1979.32345497995,6.00164028474079,5,550
124.9,20.5160316975986,47.2543212055636,1978.45357084545,-59.4376119787291,1979.34619551731,6.00170923785946,5,550
125,20.7138767526234,47.2483291395651,1978.44752888203,-60.4037077766623,1979.36940272719,6.00177960600742,5,550
125.1,20.9117212032196,47.2422404640508,1978.44148225695,-61.3698022989951,1979.39307651343,6.00185138889305,5,550
125.2,21.1095650489168,47.2360551791471,1978.4354308914,-62.3358955677907,1979.41721677939,6.00192458622334,5,550
125.3,21.3074082892372,47.2297732849783,1978.4293747064,-63.3019876049905,1979.44182342798,6.00199919770388,5,550
125.4,21.5052509236948,47.2233947816664,1978.42331362278,-64.2680784324153,1979.46689636163,6.00207522303882,5,550
125.5,21.7030929517958,47.2169196693314,1978.4172475612,-65.234168071763,1979.4924354823,6.00215266193092,5,550
125.6,21.9009343730385,47.210347948091,1978.41117644211,-66.2002565446098,1979.51844069148,6.00223151408147,5,550
125.7,22.098775186913,47.2036796180607,1978.4051001858,-67.1663438724088,1979.5449118902,6.00231177919034,5,550
125.8,22.2966153929017,47.1969146793539,1978.39901871234,-68.1324300764896,1979.57184897898,6.00239345695593,5,550
125.9,22.4944549904789,47.1900531320821,1978.3929319416,-69.098515178058,1979.59925185789,6.0024765470752,5,550
126,22.6922939791108,47.1830949763544,1978.38683979327,-70.0645991981955,1979.62712042647,6.0025610492436,5,550
126.1,22.8901323582556,47.1760402122778,1978.38074218682,-71.0306821578585,1979.65545458383,6.00264696315514,5,550
126.2,23.0879701273635,47.1688888399575,1978.37463904152,-71.9967640778787,1979.68425422853,6.00273428850229,5,550
126.3,23.2858072858766,47.1616408594962,1978.36853027643,-72.962844978961,1979.71351925867,6.00282302497605,5,550
126.4,23.4836438332288,47.1542962709949,1978.36241581039,-73.9289248816847,1979.74324957184,6.0029131722659,5,550
126.5,23.6814797688459,47.1468550745525,1978.35629556202,-74.8950038065014,1979.77344506513,6.00300473005979,5,550
126.6,23.8793150921457,47.1393172702656,1978.35016944974,-75.8610817737359,1979.80410563512,6.00309769804416,5,550
126.7,24.0771498025377,47.131682858229,1978.34403739172,-76.8271588035847,1979.83523117789,6.00319207590387,5,550
126.8,24.2749838994231,47.1239518385354,1978.33789930593,-77.7932349161153,1979.86682158899,6.00328786332225,5,550
126.9,24.4728173821952,47.1161242112757,1978.33175511009,-78.7593101312668,1979.89887676349,6.00338505998108,5,550
127,24.6706502502387,47.1081999765384,1978.32560472169,-79.7253844688478,1979.93139659589,6.00348366556054,5,550
127.1,24.8684825029304,47.1001791344105,1978.319448058,-80.6914579485369,1979.96438098022,6.00358367973925,5,550
127.2,25.0663141396384,47.0920616849767,1978.31328503603,-81.657530589882,1979.99782980995,6.00368510219421,5,550
127.3,25.2641451597228,47.0838476283198,1978.30711557256,-82.6236024122989,1980.03174297803,6.00378793260085,5,550
127.4,25.4619755625354,47.0755369645209,1978.30093958411,-83.5896734350719,1980.06612037688,6.00389217063296,5,550
127.5,25.6598053474194,47.0671296936588,1978.29475698697,-84.5557436773517,1980.1009618984,6.00399781596272,5,550
127.6,25.8576345137097,47.0586258158108,1978.28856769715,-85.5218131581564,1980.13626743391,6.00410486826067,5,550
127.7,26.0554630607329,47.0500253310519,1978.28237163044,-86.4878818963698,1980.17203687424,6.0042133271957,5,550
127.8,26.2532909878071,47.0413282394556,1978.27616870233,-87.4539499107406,1980.20827010963,6.00432319243506,5,550
127.9,26.4511182942419,47.0325345410933,1978.26995882808,-88.4200172198827,1980.24496702979,6.00443446364432,5,550
128,26.6489449793383,47.0236442360345,1978.26374192266,-89.3860838422736,1980.28212752388,6.00454714048739,5,550
128.1,26.8467710423893,47.0146573243471,1978.25751789997,-90.3521497962169,1980.31975147968,6.00466122262402,5,550
128.2,27.0445964826782,47.005573806097,1978.25128667212,-91.318215099808,1980.35783878291,6.00477670970767,5,550
128.3,27.2424212994828,46.9963936813481,1978.24504819033,-92.2842797728332,1980.39638935814,6.00500562305807,5,550
128.4,27.4402454920537,46.9871169501637,1978.23880189,-93.2503438107866,1980.43540261327,6.0054121136456,5,550
128.5,27.638069059592,46.9777436126068,1978.23254752437,-94.2164072234486,1980.47487827411,6.00582306124928,5,550
128.6,27.8358920012865,46.9682736687393,1978.22628499817,-95.1824700274648,1980.51481621779,6.00623846720104,5,550
128.7,28.0337143163164,46.958707118621,1978.22001421578,-96.1485322393237,1980.55521632083,6.0066583328493,5,550
128.8,28.2315360038513,46.9490439623106,1978.21373508118,-97.1145938753558,1980.59607845906,6.00708265955898,5,550
128.9,28.429357063051,46.9392841998646,1978.20744749799,-98.0806549517314,1980.63740250765,6.00751144871156,5,550
129,28.627177493066,46.9294278313384,1978.20115136943,-99.0467154844619,1980.67918834111,6.00794470170499,5,550
129.1,28.8249972930368,46.9194748567853,1978.19484659834,-100.012775489397,1980.72143583324,6.00838241995377,5,550
129.2,29.0228164620943,46.9094252762576,1978.18853308716,-100.978834982224,1980.76414485721,6.00882460488892,5,550
129.3,29.2206349993597,46.8992790898054,1978.18221073796,-101.944893978467,1980.80731528546,6.00927125795802,5,550
129.4,29.4184529039441,46.8890362974779,1978.17587945237,-102.910952493487,1980.85094698977,6.00972238062514,5,550
129.5,29.616270174949,46.8786968993223,1978.16953913163,-103.877010542478,1980.89503984121,6.01017797437093,5,550
129.6,29.8140868114659,46.8682608953844,1978.16318967657,-104.84306814047,1980.93959371014,6.01063804069258,5,550
129.7,30.0119028125765,46.8577282857087,1978.1568309876,-105.809125302322,1980.98460846624,6.01110258110383,5,550
129.8,30.2097181773523,46.847099070338,1978.1504629647,-106.775182042729,1981.03008397846,6.01157159713498,5,550
129.9,30.407532904855,46.8363732493137,1978.14408550743,-107.741238376213,1981.07602011505,6.0120450903329,5,550
130,30.6053469941359,46.8255508226759,1978.13769851491,-108.707294317127,1981.12241674351,6.01252306226101,5,550
130.1,30.8031604442367,46.8146317904629,1978.13130188584,-109.673349879651,1981.16927373064,6.01300551449933,5,550
130.2,31.0009732541885,46.8036161527121,1978.12489551844,-110.639405077794,1981.2165909425,6.01349244864444,5,550
